Series,Issue,"Full Title",Genre,"Variant Description",Publisher,"Cover Date","Storage Box","Release Date","Release Year","Story Arc",Subtitle,Title,Variant,"Cover Price",Key,"Key Category","Key Reason",Barcode,"Cover Year",Artist,Characters,Colorist,"Cover Artist","Cover Colorist","Cover Inker","Cover Painter","Cover Penciller","Cover Separator",Creators,Editor,"Editor in Chief",Inker,Layouts,Letterer,Painter,Penciller,Plotter,Scripter,Separator,Translator,Writer
Outlanders,19,,"Action | Adventure | Manga | Science Fiction","1st Printing","Dark Horse Comics","Jul 1990",L18a,"Jul 1990",1990,,,,,,No,,,,1990,"Johji Manabe",,,"Johji Manabe",,,,,,"Johji Manabe",,,,,"Wayne Truman",,,,,,"Toren Smith | Dana Lewis","Johji Manabe"
Outlaws,1,"The Wheel",Adventure,"1st Printing","DC Comics","Sep 1991",L13,"Sep 1991",1991,,,"The Wheel",,,No,,,,1991,"Luke McDonnell",,"Julianna Ferriter",,,,,"Luke McDonnell",,"Michael Jan Friedman | Luke McDonnell","Brian Augustyn",,,,"Tim Harkins",,"Luke McDonnell",,,,,"Michael Jan Friedman"
"Outsiders, Vol. 1",5,"A Christmas Carol-- 1985","Action | Adventure | Super-Heroes","1st Printing","DC Comics","Mar 1986",L13,"Mar 1986",1986,,,"A Christmas Carol-- 1985",,,No,,,,1986,"Jim Aparo | Trevor von Eeden","Black Lightning (Jefferson Pierce) | Metamorpho (Rex Mason) | Katana (Tatsu Yamashiro)","Adrienne Roy","Jim Aparo",,,,,,"Mike W. Barr | Jim Aparo | Trevor von Eeden","Mike W. Barr",,,,"John Costanza | Ben Oda | John E. Workman Jr.",,,,,,,"Mike W. Barr"
"Outsiders, Vol. 3",41,"Mad Scientists, Part 2: Raising The Dead","Action | Adventure | Super-Heroes","1st Printing","DC Comics","Dec 2006",L13,"Dec 2006",2006,"Mad Scientists",,"Part 2: Raising The Dead",,,No,,,76194123721304111,2006,,"Lois Lane | Nightwing (Richard 'Dick' Grayson) | Metamorpho (Rex Mason)","Guy Major","Daniel Acuña",,,,,,"Judd Winick | Ron Randall | Matthew Clark","Joan Hilty",,"Art Thibert",,"Pat Brosseau",,"Ron Randall | Matthew Clark",,,,,"Judd Winick"
"Over the Edge",3,"Incredible Hulk: Toads' Night Out!","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Jan 1996",L05a,"Jan 1996",1996,,,"Incredible Hulk: Toads' Night Out!",,,No,,,75960604273900311,1996,,,"Joe Andreani",,,"Dan Panosian",,"Stephen Jones",,"Ralph Macchio | Stephen Jones | Mike Witherby","James Felder",,"Mike Witherby",,"Jonathan Babcock",,"Stephen Jones",,,,,"Ralph Macchio"
"Pacific Presents",3,"The Wildly Plausible Plight of EErie Smith and Walter Weary",Adventure,"1st Printing","Pacific Comics","Mar 1984",L18b,"Mar 1984",1984,,,"The Wildly Plausible Plight of EErie Smith and Walter Weary",,,No,,,,1984,"Will Meugniot | Steve Ditko",,"Daryl Isaacs | Jim Betrand",,,,,,,"Kevin Conrad | Robin Snyder | Will Meugniot",,,,,"Andy Kubert | Robert Jessup",,,,,,,"Kevin Conrad | Robin Snyder"
"Paper Girls",1,,"Action | Adventure | Mystery | Science Fiction",,"Image Comics","Oct 2015",L15,"Oct 07, 2015",2015,,,,,2.99,No,,,70985301980000111,2015,"Cliff Chiang","Tiffany (Paper Girls) | Lucas Kurzenberger | KJ (Paper Girls)","Matt Wilson","Cliff Chiang",,,,,,"Brian K. Vaughan | Cliff Chiang",,,,,"Jared K. Fletcher",,,,,,,"Brian K. Vaughan"
"Paper Girls",2,"Nostalgia Is Death",Mystery,"Cliff Chang Regular Cover","Image Comics","Nov 2015",L15,"Nov 04, 2015",2015,,,"Nostalgia Is Death",,2.99,No,,,70985301980000211,2015,"Cliff Chiang",,"Matt Wilson","Cliff Chiang",,,,,,"Brian K. Vaughan | Cliff Chiang",,,,,"Jared K. Fletcher",,,,,,,"Brian K. Vaughan"
"Paper Girls",3,"Death Is Forever","Adventure | Mystery | Science Fiction","Cliff Chang Regular Cover","Image Comics","Dec 2015",L15,"Dec 02, 2015",2015,,,"Death Is Forever",,2.99,No,,,70985301980000311,2015,"Cliff Chiang",,"Matt Wilson","Cliff Chiang",,,,,,"Brian K. Vaughan | Cliff Chiang",,,,,"Jared K. Fletcher",,,,,,,"Brian K. Vaughan"
"Paper Girls",4,"Forever Is Now","Mystery | Science Fiction",,"Image Comics","Jan 2016",L15,"Jan 06, 2016",2016,,,"Forever Is Now",,2.99,No,,,70985301980000411,2016,"Cliff Chiang",,"Matt Wilson","Cliff Chiang",,,,,,"Brian K. Vaughan | Cliff Chiang",,,,,"Jared K. Fletcher",,,,,,,"Brian K. Vaughan"
