Series,Issue,"Full Title",Genre,"Variant Description",Publisher,"Cover Date","Storage Box","Release Date","Release Year","Story Arc",Subtitle,Title,Variant,"Cover Price",Key,"Key Category","Key Reason",Barcode,"Cover Year",Artist,Characters,Colorist,"Cover Artist","Cover Colorist","Cover Inker","Cover Painter","Cover Penciller","Cover Separator",Creators,Editor,"Editor in Chief",Inker,Layouts,Letterer,Painter,Penciller,Plotter,Scripter,Separator,Translator,Writer
"Old Man Logan, Vol. 2",34,"Moon Over Madripoor, Moon Over Madripoor, pt 1",Super-Heroes,"1st Printing","Marvel Comics",,L05a,"Jan 31, 2018",2018,"Moon Over Madripoor",,"Moon Over Madripoor, pt 1",,3.99,No,,,75960608336703411,,"Ibraim Roberson","Gorgon (Tomi Shishido) | Logan (Earth-807128) (James Howlett) | The Hand","Carlos López","Mike Deodato Jr.","Frank Martin Jr.",,,,,"Ed Brisson | Ibraim Roberson","Mark Paniccia | Christina Harrington","C.B. Cebulski",,,"Cory Petit",,,,,,,"Ed Brisson"
"Old Man Logan, Vol. 2",35A,"Moon Over Madripoor, Part Two",Super-Heroes,"Regular Mike Deodato Jr Cover","Marvel Comics",,L05a,"Feb 14, 2018",2018,"Moon Over Madripoor",,"Part Two",A,,No,,,75960608336703511,,"Ibraim Roberson","Gorgon (Tomi Shishido) | Logan (Earth-807128) (James Howlett) | Silver Samurai (Shingen 'Shin' Harada)","Carlos López","Mike Deodato Jr.","Frank Martin Jr.",,,,,"Ed Brisson | Ibraim Roberson","Mark Paniccia | Christina Harrington","C.B. Cebulski",,,"Cory Petit",,,,,,,"Ed Brisson"
"Old Man Logan, Vol. 2",36A,"Moving Target, Moving Target, pt 1",Super-Heroes,"Regular Mike Deodato Jr Cover","Marvel Comics",,L05a,"Mar 14, 2018",2018,"Moving Target",,"Moving Target, pt 1",A,3.99,No,,,75960608336703611,,"Dalibor Talajic","Kingpin (Wilson Fisk) | Bullseye (Lester / Benjamin Poindexter) | Logan (Earth-807128) (James Howlett)","Carlos López","Mike Deodato Jr.","Carlos López",,,,,"Ed Brisson | Dalibor Talajic","Mark Paniccia | Christina Harrington","C.B. Cebulski",,,"Cory Petit",,,,,,,"Ed Brisson"
"Old Man Logan, Vol. 2",37,"Marvel Legacy - Moving Target, Part 2",Super-Heroes,"1st Printing","Marvel Comics",,L05a,"Mar 28, 2018",2018,"Moving Target",,"Part 2",,,No,,,75960608336703711,,"Dalibor Talajic","Kingpin (Wilson Fisk) | Bullseye (Lester / Benjamin Poindexter) | Logan (Earth-807128) (James Howlett)","Carlos López","Mike Deodato Jr.","Carlos López",,,,,"Ed Brisson | Dalibor Talajic","Mark Paniccia | Christina Harrington","C.B. Cebulski",,,"Cory Petit",,,,,,,"Ed Brisson"
"Old Man Logan, Vol. 2",38A,"Marvel Legacy - Moving Target, Conclusion",Super-Heroes,"Regular Mike Deodato Jr Cover","Marvel Comics",,L05a,"Apr 11, 2018",2018,"Moving Target",,Conclusion,A,,No,,,75960608336703811,,"Dalibor Talajic","Kingpin (Wilson Fisk) | Bullseye (Lester / Benjamin Poindexter) | Logan (Earth-807128) (James Howlett)","Carlos López","Mike Deodato Jr.","Carlos López",,,,,"Ed Brisson | Dalibor Talajic","Mark Paniccia | Christina Harrington","C.B. Cebulski",,,"Cory Petit",,,,,,,"Ed Brisson"
"Old Man Logan, Vol. 2",39,"Glob Loves, Man Kills, Part One",Super-Heroes,"1st Printing","Marvel Comics",,L05a,"May 09, 2018",2018,"Glob Loves, Man Kills",,"Part One",,,No,,,75960608336703911,,"Ibraim Roberson","Rockslide (Santo Vaccarro) | Anole (Victor Borkowski) | Chamber (Jonothon Starsmore)","Carlos López","Mike Deodato Jr.","Carlos López",,,,,"Ed Brisson | Ibraim Roberson","Jordan D. White | Chris Robinson | Christina Harrington","C.B. Cebulski",,,"Cory Petit",,,,,,,"Ed Brisson"
"Old Man Logan, Vol. 2",40,"Glob Loves, Man Kills, Conclusion",Super-Heroes,"1st Printing","Marvel Comics",,L05a,"May 23, 2018",2018,"Glob Loves, Man Kills",,Conclusion,,,No,,,75960608336704011,,"Ibraim Roberson","Rockslide (Santo Vaccarro) | Anole (Victor Borkowski) | Kid Omega (Quentin Quire)","Carlos López","Mike Deodato Jr.","Carlos López",,,,,"Ed Brisson | Ibraim Roberson","Jordan D. White | Chris Robinson | Christina Harrington","C.B. Cebulski",,,"Cory Petit",,,,,,,"Ed Brisson"
"Old Man Logan, Vol. 2",42,"Logan the Hunted, Part Two",Super-Heroes,"1st Printing","Marvel Comics",,L05a,"Jun 27, 2018",2018,"Logan the Hunted",,"Part Two",,,No,,,75960608336704211,,"Francesco Manna","Ka-Zar (Kevin Plunder) | Kraven the Hunter (Sergei Kravinoff) | Zabu (Zabu Plunder)","Carlos López","Mike Deodato Jr.","Carlos López",,,,,"Ed Brisson | Francesco Manna","Jordan D. White | Chris Robinson | Christina Harrington","C.B. Cebulski",,,"Cory Petit",,,,,,,"Ed Brisson"
"Old Man Logan, Vol. 2",43,"Bullseye Returns, Part One",Super-Heroes,"1st Printing","Marvel Comics",,L05a,"Jul 11, 2018",2018,"Bullseye Returns",,"Part One",,,No,,,75960608336704311,,"Juan Ferreyra","Bullseye (Lester / Benjamin Poindexter) | Logan (Earth-807128) (James Howlett) | Sarah Dewey",,"Mike Deodato Jr.","Carlos López",,,,,"Ed Brisson | Juan Ferreyra","Jordan D. White | Chris Robinson | Christina Harrington","C.B. Cebulski",,,"Cory Petit",,,,,,,"Ed Brisson"
"Old Man Logan, Vol. 2",44,"Bullseye Returns, Part Two",Super-Heroes,"1st Printing","Marvel Comics",,L05a,"Jul 25, 2018",2018,"Bullseye Returns",,"Part Two",,,No,,,75960608336704411,,"Juan Ferreyra","Bullseye (Lester / Benjamin Poindexter) | Glob Herman (Robert Herman) | Old Man Logan (James Howlett)",,"Mike Deodato Jr.","Carlos López",,,,,"Ed Brisson | Juan Ferreyra","Jordan D. White | Chris Robinson | Christina Harrington","C.B. Cebulski",,,"Cory Petit",,,,,,,"Ed Brisson"
